attribute_key,attribute_value,attribute_type,nft_token_id,chain,collection_contract_address,collection_slug,created_at,updated_at
Accessory,Wand,str,1,Celo,0x9B5cCAA7972630e3c90F200fe158D356E4522b8E,nft,,
Background,Wasabi,str,1,Celo,0x9B5cCAA7972630e3c90F200fe158D356E4522b8E,nft,,
Body,Alien,str,1,Celo,0x9B5cCAA7972630e3c90F200fe158D356E4522b8E,nft,,
Clothes,Transparent,str,1,Celo,0x9B5cCAA7972630e3c90F200fe158D356E4522b8E,nft,,
Eyes,BlueSpec,str,1,Celo,0x9B5cCAA7972630e3c90F200fe158D356E4522b8E,nft,,
Head,Wool,str,1,Celo,0x9B5cCAA7972630e3c90F200fe158D356E4522b8E,nft,,
Mouth,Sausage,str,1,Celo,0x9B5cCAA7972630e3c90F200fe158D356E4522b8E,nft,,
Accessory,Wand,str,2,Celo,0x9B5cCAA7972630e3c90F200fe158D356E4522b8E,nft,,
Background,Middlegrey,str,2,Celo,0x9B5cCAA7972630e3c90F200fe158D356E4522b8E,nft,,
Body,Godzilla,str,2,Celo,0x9B5cCAA7972630e3c90F200fe158D356E4522b8E,nft,,
Clothes,Vampire,str,2,Celo,0x9B5cCAA7972630e3c90F200fe158D356E4522b8E,nft,,
Eyes,Undead,str,2,Celo,0x9B5cCAA7972630e3c90F200fe158D356E4522b8E,nft,,
Head,Hat,str,2,Celo,0x9B5cCAA7972630e3c90F200fe158D356E4522b8E,nft,,
Mouth,Tongue Lash,str,2,Celo,0x9B5cCAA7972630e3c90F200fe158D356E4522b8E,nft,,
Background,Galaxy,str,1,Celo,0x179513e0fa9B5AD964405B01194105A2d8e0c2df,nft,,
Body,TRex,str,1,Celo,0x179513e0fa9B5AD964405B01194105A2d8e0c2df,nft,,
Eyes,YourTypicalToadzStare,str,1,Celo,0x179513e0fa9B5AD964405B01194105A2d8e0c2df,nft,,
Head,Aqua,str,1,Celo,0x179513e0fa9B5AD964405B01194105A2d8e0c2df,nft,,
Mouth,Sleepy,str,1,Celo,0x179513e0fa9B5AD964405B01194105A2d8e0c2df,nft,,
Clothes,None,str,1,Celo,0x179513e0fa9B5AD964405B01194105A2d8e0c2df,nft,,
Accessory,None,str,1,Celo,0x179513e0fa9B5AD964405B01194105A2d8e0c2df,nft,,
Background,Galaxy,str,1,Celo,0x86bEF3d8Ad9d30435da8c111BB67c510B8311721,celotoadznft,,
Body,TRex,str,1,Celo,0x86bEF3d8Ad9d30435da8c111BB67c510B8311721,celotoadznft,,
