amount_raw,block_date,block_number,block_timestamp,chain,collection_contract_address,from_address,internal_index,log_index,nft_token_id,to_address,transaction_hash,transfer_type
1,2021-11-05,9704037,2021-11-05T07:27:54,Celo,0x179513e0fa9B5AD964405B01194105A2d8e0c2df,0x0000000000000000000000000000000000000000,4,16,1,0x0000000000000000000000000000000000000000,0x42a511c2168dc80ef0b6e5bb0deb1808fba8409a0963f73e74cf8da68f37f6d5,transfer
2,2021-11-05,9704037,2021-11-05T07:27:54,Celo,0x179513e0fa9B5AD964405B01194105A2d8e0c2df,0x0000000000000000000000000000000000000000,4,17,2,0x0000000000000000000000000000000000000000,0x42a511c2168dc80ef0b6e5bb0deb1808fba8409a0963f73e74cf8da68f37f6d5,transfer
3,2021-11-05,9704037,2021-11-05T07:27:54,Celo,0x179513e0fa9B5AD964405B01194105A2d8e0c2df,0x0000000000000000000000000000000000000000,4,18,3,0x0000000000000000000000000000000000000000,0x42a511c2168dc80ef0b6e5bb0deb1808fba8409a0963f73e74cf8da68f37f6d5,transfer
4,2021-11-05,9704037,2021-11-05T07:27:54,Celo,0x179513e0fa9B5AD964405B01194105A2d8e0c2df,0x0000000000000000000000000000000000000000,4,19,4,0x0000000000000000000000000000000000000000,0x42a511c2168dc80ef0b6e5bb0deb1808fba8409a0963f73e74cf8da68f37f6d5,transfer
5,2021-11-05,9704037,2021-11-05T07:27:54,Celo,0x179513e0fa9B5AD964405B01194105A2d8e0c2df,0x0000000000000000000000000000000000000000,4,20,5,0x0000000000000000000000000000000000000000,0x42a511c2168dc80ef0b6e5bb0deb1808fba8409a0963f73e74cf8da68f37f6d5,transfer
6,2021-11-05,9704037,2021-11-05T07:27:54,Celo,0x179513e0fa9B5AD964405B01194105A2d8e0c2df,0x0000000000000000000000000000000000000000,4,21,6,0x0000000000000000000000000000000000000000,0x42a511c2168dc80ef0b6e5bb0deb1808fba8409a0963f73e74cf8da68f37f6d5,transfer
7,2021-11-05,9704037,2021-11-05T07:27:54,Celo,0x179513e0fa9B5AD964405B01194105A2d8e0c2df,0x0000000000000000000000000000000000000000,4,22,7,0x0000000000000000000000000000000000000000,0x42a511c2168dc80ef0b6e5bb0deb1808fba8409a0963f73e74cf8da68f37f6d5,transfer
8,2021-11-05,9704037,2021-11-05T07:27:54,Celo,0x179513e0fa9B5AD964405B01194105A2d8e0c2df,0x0000000000000000000000000000000000000000,4,23,8,0x0000000000000000000000000000000000000000,0x42a511c2168dc80ef0b6e5bb0deb1808fba8409a0963f73e74cf8da68f37f6d5,transfer
9,2021-11-05,9704037,2021-11-05T07:27:54,Celo,0x179513e0fa9B5AD964405B01194105A2d8e0c2df,0x0000000000000000000000000000000000000000,4,24,9,0x0000000000000000000000000000000000000000,0x42a511c2168dc80ef0b6e5bb0deb1808fba8409a0963f73e74cf8da68f37f6d5,transfer
10,2021-11-05,9704037,2021-11-05T07:27:54,Celo,0x179513e0fa9B5AD964405B01194105A2d8e0c2df,0x0000000000000000000000000000000000000000,4,25,10,0x0000000000000000000000000000000000000000,0x42a511c2168dc80ef0b6e5bb0deb1808fba8409a0963f73e74cf8da68f37f6d5,transfer
