contract_name,contract_address,token_type,symbol,decimals
GoldTokenProxy,0x471EcE3750Da237f93B8E339c536989b8978a438,ERC-20,CELO,18
StableTokenProxy,0x765DE816845861e75A25fCA122bb6898B8B1282a,ERC-20,cUSD,18
NetMToken,0x123ED050805E0998EBEf43671327139224218e50,ERC-20,NTMX,18
SavingsCELO,0x2879BFD5e7c4EF331384E908aaA3Bd3014b703fA,ERC-20,sCELO,18
CeloStarter,0x452EF5a4bD00796e62E5e5758548e0dA6e8CCDF3,ERC-20,cStar,18
UbeToken,0x00Be915B9dCf56a3CBE739D9B9c202ca692409EC,ERC-20,UBE,18
TokenSoftTokenV2,0x2DEf4285787d58a2f811AF24755A8150622f4361,ERC-20,cETH,18
UniswapV2Pair,0x1C552a9ec7FB11D63BEfaf08b28dca0922C4104a,ERC-20,ULP,18
UniswapV2Pair,0x6626da55d43425A4EC1067b091Cf87a7EFBDAD6b,ERC-20,ULP,18
UniswapV2Pair,0xf5b1BC6C9c180b64F5711567b1d6a51A350f8422,ERC-20,ULP,18
LapisToken,0xb87080110c4F2E3025138F6dAaB5928de7900E1a,ERC-20,LAPIS,18
RewardsCELO,0x1a8Dbe5958c597a744Ba51763AbEBD3355996c3e,ERC-20,rCELO,18
CeloShiba,0x22401536505dd5d85F7d57f8B37172feDa8f499d,ERC-20,CSHIBA,9
CeloDoge,0xD90BBdf5904cb7d275c41f897495109B9A5adA58,ERC-20,CDOGE,9
LapisToken,0xBa647Ff9B1032cA3aA7F7Cc9e33D55785f49CD8e,ERC-20,LAPIS,8
Chiwawa,0xBd601dCAbCaA7BFCdea35B4062684c1Ec605fcAa,ERC-20,CHI,18
LAPIS,0x18414Ce6dAece0365f935F3e78A7C1993e77d8Cd,ERC-20,LAPIS,18
ReleaseUbe,0x5Ed248077bD07eE9B530f7C40BE0c1dAE4c131C0,ERC-20,rUBE,18
UniswapV2Pair,0xa8E0a0226DBC6B5e462d576E919f8d64d2947222,ERC-20,ULP,18
UniswapV2Pair,0x1E593F1FE7B61c53874B54EC0c59FD0d5eb8621e,ERC-20,ULP,18
TokenSoftTokenV2,0xD629eb00dEced2a080B7EC630eF6aC117e614f1b,ERC-20,BTC,18
POOF,0x00400FcbF0816bebB94654259de7273f4A05c762,ERC-20,POOF,18
ReleasePOOF,0x695218A22c805Bab9C6941546CF5395F169Ad871,ERC-20,rPOOF,18
FMTLOL,0x03943C3ef00d92e130185CeBC0bcc435Def2cC94,ERC-20,FM,18
MinionSwap,0x8834ECD9c86e0712DC763796791D43365F6f55a8,ERC-20,MINION,18
CeloAkita,0x18885CC1733EBF923D400F2d66DD28a5187856d5,ERC-20,cAKITA,18
MockToken,0xd1725ef082cCDA9d99FBA47B05C045989b817441,ERC-20,TMG,18
CaveToken,0xD566269EFfd2d3a5e4C8FA93c976cab5Fa99Eb78,ERC-20,Cave,8
Token,0xDB452CC669D3Ae454226AbF232Fe211bAfF2a1F9,ERC-20,celoDUCO,18
SideToken,0x93DB49bE12B864019dA9Cb147ba75cDC0506190e,ERC-20,cUSDC,18
ControlledSideToken,0x32A9FE697a32135BFd313a6Ac28792DaE4D9979d,ERC-20,cMCO2,18
MinionSwap,0x1345eB2c36A9d6bA912f08A0303967a9FD1e2245,ERC-20,MINION,18
UberCELO,0x6619c56302e3eA787fcd31A7e6DadEc796da0381,ERC-20,UbeC,9
ERC1967Proxy,0xbDd31EFfb9E9f7509fEaAc5B4091b31645A47e4b,ERC-20,TFBX,18
CeloShibaNinja,0x4D7bC7472b78EbFD76670c516D098aFB030B8296,ERC-20,cShibaNinja,18
